image_name,comment_number,comment
10010052.jpg, 0, A girl is on rollerskates talking on her cellphone standing in a parking lot .
10010052.jpg, 1, A trendy girl talking on her cellphone while gliding slowly down the street .
10010052.jpg, 2, A young adult wearing rollerblades 
10010052.jpg, 3, there is a young girl on her cellphone while skating .
10010052.jpg, 4, Woman talking on cellphone and wearing rollerskates .
1001465944.jpg, 0, An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
1001465944.jpg, 1, Three people are standing outside near large pipes and a metal railing .
1001465944.jpg, 2, A young woman walks past two young people dressed in hip black outfits .
1001465944.jpg, 3, A woman with a large purse is walking by a gate .
1001465944.jpg, 4, Several people standing outside a building .
1001545525.jpg, 0, Two men in Germany jumping over a rail at the same time without shirts .
1001545525.jpg, 1, Two youths are jumping over a roadside railing 
1001545525.jpg, 2, Boys dancing on poles in the middle of the night .
1001545525.jpg, 3, Two men with no shirts jumping over a rail .
1001545525.jpg, 4, two guys jumping over a gate together
1001573224.jpg, 0, Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .
1001573224.jpg, 1, Ballet dancers in a studio practice jumping with wonderful form .
1001573224.jpg, 2, Five girls are leaping simultaneously in a dance practice room .
1001573224.jpg, 3, Five girls dancing and bending feet in ballet class .
1001573224.jpg, 4, A ballet class of five girls jumping in sequence .
1001633352.jpg, 0, Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .
1001633352.jpg, 1, Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them .
1001633352.jpg, 2, Four guys three wearing hats one not are jumping at the top of a staircase .
1001633352.jpg, 3, Four men with excited faces are jumping down from the top of stairs .
1001633352.jpg, 4, Four people are jumping from the top of a flight of stairs .
1001773457.jpg, 0, A black dog and a white dog with brown spots are staring at each other in the street .
1001773457.jpg, 1, A black dog and a tri-colored dog playing with each other on the road .
1001773457.jpg, 2, Two dogs of different breeds looking at each other on the road .
1001773457.jpg, 3, Two dogs on pavement moving toward each other .
1001773457.jpg, 4, A black dog and a spotted dog are fighting
1001896054.jpg, 0, A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .
1001896054.jpg, 1, John Deere tractors cruises down a street 
1001896054.jpg, 2, A man in a neon green and orange uniform is driving on a green tractor .
1001896054.jpg, 3, A man in a tractor wearing headphones driving down a paved street .
1001896054.jpg, 4, A man driving a John Deere tractor on a main road in the country .
100197432.jpg, 0, Some women are standing in front of a bus with buildings behind it .
100197432.jpg, 1, Several women stand on a city street with tall buildings .
100197432.jpg, 2, A group of women are standing in front of a bus .
100197432.jpg, 3, Several women wait outside in a city .
100197432.jpg, 4, Women are standing outside
100207720.jpg, 0, A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .
100207720.jpg, 1, A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake .
100207720.jpg, 2, A woman wearing glasses sprinkles powdered sugar onto her bundt cake .
100207720.jpg, 3, Girl in black jacket sifting powdered sugar over a chocolate cake .
100207720.jpg, 4, A standing woman holds a pan over a cake .
1002674143.jpg, 0, A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
1002674143.jpg, 1, A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
1002674143.jpg, 2, There is a girl with pigtails sitting in front of a rainbow painting .
1002674143.jpg, 3, A little girl is sitting in front of a large painted rainbow .
1002674143.jpg, 4, Young girl with pigtails painting outside in the grass .
1003163366.jpg, 0, a man sleeping on a bench outside with a white and black dog sitting next to him .
1003163366.jpg, 1, A man lays on the bench to which a white dog is also tied .
1003163366.jpg, 2, man laying on bench holding leash of dog sitting on ground
1003163366.jpg, 3, A shirtless man lies on a park bench with his dog .
1003163366.jpg, 4, A man lays on a bench while his dog sits by him .
1003420127.jpg, 0, A group of adults 
1003420127.jpg, 1, Five musicians 
1003420127.jpg, 2, People gathered in a circle 
1003420127.jpg, 3, People gathered in a room to talk about their favorite tunes .
1003420127.jpg, 4, Five people are sitting in a circle with instruments .
1003428081.jpg, 0, Two women 
1003428081.jpg, 1, At least four instrumentalists play clarinets and other instruments in a curtained room .
1003428081.jpg, 2, Four women in a living room 
1003428081.jpg, 3, A bunch of elderly women play their clarinets together as they read off sheet music .
1003428081.jpg, 4, A group of four women 
100444898.jpg, 0, A person in gray stands alone on a structure outdoors in the dark .
100444898.jpg, 1, A large structure has broken and is laying in a roadway .
100444898.jpg, 2, A man in a gray coat is standing on a washed out bridge .
100444898.jpg, 3, A man stands on wooden supports and surveys damage .
100444898.jpg, 4, A man in a jacket and jeans standing on a bridge .
1005216151.jpg, 0, A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
1005216151.jpg, 1, A large crowd of people stand outside in front of the entrance to a Metro station .
1005216151.jpg, 2, A group of people are walking through a city street .
1005216151.jpg, 3, A crowd is portrayed near a metro station .
1005216151.jpg, 4, Crowd standing outside a metro area .
100577935.jpg, 0, A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
100577935.jpg, 1, A man is putting a tattoo on a another 's man upper back .
100577935.jpg, 2, A man with a black shirt giving another man a tattoo .
100577935.jpg, 3, A man is putting tattoo on his back .
100577935.jpg, 4, A man getting a tattoo on his back .
1006452823.jpg, 0, two children 
1006452823.jpg, 1, Two children sit on a small seesaw in the sand .
1006452823.jpg, 2, Two children sitting on a teeter totter .
1006452823.jpg, 3, 2 kids playing on a seesaw
1006452823.jpg, 4, Two kids sit on a seesaw .
100652400.jpg, 0, A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
100652400.jpg, 1, A man wearing a hard hat and a caution vest is standing in the street waving an orange flag .
100652400.jpg, 2, A man in bright vest and hard hat holds a flag on a street corner covered in spray paint
100652400.jpg, 3, A construction worker is standing in the street and holding a red flag .
100652400.jpg, 4, A man wearing a reflective vest and a hard hat holds a flag in the road
1007129816.jpg, 0, The man with pierced ears is wearing glasses and an orange hat .
1007129816.jpg, 1, A man with glasses is wearing a beer can crocheted hat .
1007129816.jpg, 2, A man with gauges and glasses is wearing a Blitz hat .
1007129816.jpg, 3, A man in an orange hat starring at something .
1007129816.jpg, 4, A man wears an orange hat and glasses .
100716317.jpg, 0, A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
100716317.jpg, 1, A person dressed in a blue coat is standing in on a busy sidewalk 
100716317.jpg, 2, A person with gray hair is painting in a public place surrounded by others who are also painting .
100716317.jpg, 3, Lady in blue coat with white and brown hat standing in front of a painting .
100716317.jpg, 4, Passerby admiring painting at an outdoor art fair .
1007205537.jpg, 0, A man stands on one foot while holding on to a waste basket .
1007205537.jpg, 1, A man in green pants and blue shirt pushing a cart .
1007205537.jpg, 2, Janitor pushing dolly outside with janitor tools .
1007205537.jpg, 3, A man in green pants walking down the road .
1007205537.jpg, 4, A man in bright pants is pushing a cart .
1007320043.jpg, 0, A small child grips onto the red ropes at the playground .
1007320043.jpg, 1, A little girl in pink climbs a rope bridge at the park .
1007320043.jpg, 2, The small child climbs on a red ropes on a playground .
1007320043.jpg, 3, A little girl climbing on red roping .
1007320043.jpg, 4, A child playing on a rope net .
100759042.jpg, 0, Young man in jacket holding a toothpick with something on the end of it
100759042.jpg, 1, A young man traveling on bus with a piece of flower in his hands .
100759042.jpg, 2, A teen holding an unknown object for photographers .
100759042.jpg, 3, A young man on a train holds an origami crane .
100759042.jpg, 4, You know i am looking like Justin Bieber .
10082347.jpg, 0, Young blond man in a blue and yellow jacket smiling while standing in front of a net .
10082347.jpg, 1, A young man in a black and yellow jacket is gazing at something and smiling .
10082347.jpg, 2, A young man holding a pole vault looks determined .
10082347.jpg, 3, A man is holding a pole and smiling .
10082347.jpg, 4, A smiling man looking at the sky .
10082348.jpg, 0, A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .
10082348.jpg, 1, A man is wearing a ball cap and holding a coffee cup between to urinals .
10082348.jpg, 2, a man is posing next to a urinal with a cup of coffee .
10082348.jpg, 3, A man holds a coffee cup while in the bathroom .
10082348.jpg, 4, A man standing at a urinal with a coffee cup .
100845130.jpg, 0, Five people walking with a multicolored sky in the background .
100845130.jpg, 1, Four people walking through the sunset in clear blue skies .
100845130.jpg, 2, Four people walking with the sun setting behind them .
100845130.jpg, 3, Four silhouettes decorate the horizon 's sunset .
100845130.jpg, 4, A group of people walking as the sun sets .
10090841.jpg, 0, A man with black hair sits in a restaurant with a glass of beer .
10090841.jpg, 1, A man is sitting at a table with a drink .
10090841.jpg, 2, A man is sitting at a table with a beer .
10090841.jpg, 3, A dark-haired man sitting drinking .
10090841.jpg, 4, A old man having a beer alone .
1009434119.jpg, 0, A black and white dog is running in a grassy garden surrounded by a white fence .
1009434119.jpg, 1, A Boston Terrier is running on lush green grass in front of a white fence .
1009434119.jpg, 2, A black and white dog is running through the grass .
1009434119.jpg, 3, A dog runs on the green grass near a wooden fence .
1009434119.jpg, 4, A Boston terrier is running in the grass .
1009692167.jpg, 0, An officer in a reflective vest stands at the front of his van with his dog .
1009692167.jpg, 1, A trained police dog sits next to his handler in front of the police van .
1009692167.jpg, 2, A security man with his watch dog is looking for something .
1009692167.jpg, 3, A policeman is standing with a German Shepherd dog .
1009692167.jpg, 4, A policeman stops on a street with a search dog .
101001624.jpg, 0," The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
101001624.jpg, 1, A young boy rides a bike down a snow covered road .
101001624.jpg, 2, A boy in the snow riding his bike down the street .
101001624.jpg, 3, A person riding a bike on a snowy road .
101001624.jpg, 4, A person riding a bike in snow .
1010031975.jpg, 0, Five men 
1010031975.jpg, 1, small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking .
1010031975.jpg, 2, Five men in white short-sleeved shirts and ties stand in a parking lot .
1010031975.jpg, 3, A group of men wearing ties talk while standing on the street .
1010031975.jpg, 4, Colleges stop to take a break from there business meetings .
1010087179.jpg, 0, A tan man with a backwards hat looks at the camera while walking through a factory .
1010087179.jpg, 1, Older man working in a factory not looking too excited about the photograph .
1010087179.jpg, 2, A man in a white shirt and black camp among many machines .
1010087179.jpg, 3, A man with a backwards hat works on machinery .
1010087179.jpg, 4, A man wearing a backwards cap at work .
1010087623.jpg, 0, A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .
1010087623.jpg, 1, A black woman and a white man working in a factory setting packing jars with candles into boxes .
1010087623.jpg, 2, A woman is sorting white tall candles as a man in a green shirt stands behind her .
1010087623.jpg, 3, A warehouse manager assisting an employee .
1010087623.jpg, 4, Two people working on an assembly line .
10101477.jpg, 0, Man wearing a blue and white outfit 
10101477.jpg, 1, A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .
10101477.jpg, 2, A man in a white and blue kimono is using a broom to sweep pavement .
10101477.jpg, 3, Man sweeping the street outside .
10101477.jpg, 4, Asian man sweeping the walkway .
1010470346.jpg, 0, two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by
1010470346.jpg, 1, A man leans into a car to talk to the driver 
1010470346.jpg, 2, A man on a bicycle watching a row of cars waiting to go through a checkpoint .
1010470346.jpg, 3, A park ranger talking to a tourist .
1010470346.jpg, 4, Two cars are parked outside .
1010673430.jpg, 0, A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .
1010673430.jpg, 1, Two young children eating a snack and playing in the grass .
1010673430.jpg, 2, Two young toddlers outside on the grass .
1010673430.jpg, 3, Two infants are at play in the yard .
1010673430.jpg, 4, 2 female babies eating chips .
101093029.jpg, 0, A person in tan pants is inside a silver mobile object while people watch .
101093029.jpg, 1, People are watching a person in a weird vehicle in a plaza .
101093029.jpg, 2, A man in a blue shirt driving a Segway type vehicle .
101093029.jpg, 3, a showing of product to advertise
101093029.jpg, 4, A crowd admiring modern art ?
101093045.jpg, 0, A man in black approaches a strange silver object containing a person 
101093045.jpg, 1, A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .
101093045.jpg, 2, A person riding in a futuristic single-person vehicle .
101093045.jpg, 3, man walking up to silver 4-wheeled chair
101093045.jpg, 4, A man walks by a silver vehicle .
1011572216.jpg, 0, bride and groom walking side by side out of focus on pathway next to brick building .
1011572216.jpg, 1, A beautiful bride walking on a sidewalk with her new husband .
1011572216.jpg, 2, A recently married couple pose for the camera .
1011572216.jpg, 3, A groom and bride are standing arm in arm .
1011572216.jpg, 4, A couple getting married .
1012150929.jpg, 0, A little boy plays with a Nintendo GameCube controller inside a McDonald 's .
1012150929.jpg, 1, A young boy plays a video game in a McDonald 's restaurant .
1012150929.jpg, 2, A young boy plays with a GameCube kiosk at McDonald 's .
1012150929.jpg, 3, A little boy playing GameCube at a McDonald 's .
1012150929.jpg, 4, A little kid playing GameCube at McDonald 's .
1012212859.jpg, 0, White dog with brown ears standing near water with head turned to one side .
1012212859.jpg, 1, Dog with orange ball at feet 
1012212859.jpg, 2, A white dog shakes on the edge of a beach with an orange ball .
1012212859.jpg, 3, White dog playing with a red ball on the shore near the water .
1012212859.jpg, 4, A dog shakes its head near the shore 
1012328893.jpg, 0, A group of people picnicking at picnic tables in front of a playground .
1012328893.jpg, 1, A group of people enjoying a beautiful day in the park .
1012328893.jpg, 2, A group of people are having a picnic at the park .
1012328893.jpg, 3, The reunion is in full swing with a moon bounce .
1012328893.jpg, 4, A group of people having a barbecue at a park .
101262930.jpg, 0, Two asian or spanish people 
101262930.jpg, 1, A man in sunglasses puts his arm around a woman in a black and white blouse .
101262930.jpg, 2, A man in sunglasses puts his arm around a woman .
101262930.jpg, 3, A man and woman pose in front of some traffic .
101262930.jpg, 4, An Asian couple sitting on the bench .
1013536888.jpg, 0, Women are seated at a picnic table eating 
1013536888.jpg, 1, An elderly woman is eating a burger while the man next to her touching his hat .
1013536888.jpg, 2, A man with a balloon hat and people eating outdoors at picnic tables .
1013536888.jpg, 3, Two older women sit at a table with two coolers in front of them .
1013536888.jpg, 4, A gray-haired person with glasses enjoys a sandwich .
101362133.jpg, 0, A young female student performing a downward kick to break a board held by her Karate instructor .
101362133.jpg, 1, Girl about to kick a piece of wood in half while karate instructor holds it
101362133.jpg, 2, A girl kicking a stick that a man is holding in tae kwon do class .
101362133.jpg, 3, A girl in karate uniform breaking a stick with a front kick .
101362133.jpg, 4, A girl breaking boards by using karate .
101362650.jpg, 0, Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .
101362650.jpg, 1, A boy jump kicking over three kids kicking wood during a tae kwon do competition .
101362650.jpg, 2, A boy jumps over three other students in a martial arts demonstration .
101362650.jpg, 3, A crowd is watching a group of five martial artists perform .
101362650.jpg, 4, A crowd of people watch a martial arts demonstration .
1014609273.jpg, 0, People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him .
1014609273.jpg, 1, A kid in a red sweatshirt is reaching to hand something to a man in a white shirt
1014609273.jpg, 2, A young boy empties a bottle over the railing of a balcony unto the man below .
1014609273.jpg, 3, a boy in a red jacket pouring water on a man in a white shirt
1014609273.jpg, 4, A young man pouring the contents of a bottle .
101471792.jpg, 0, A man with a red jacket is shielding himself from the sun trying to read a piece of paper .
101471792.jpg, 1, a man wearing a red coat is outside with his hand over his head to block out the sun .
101471792.jpg, 2, A man in a red jacket shades the sun from his eyes on a busy street .
101471792.jpg, 3, An elderly man in a red jacket shielding his face from the sun .
101471792.jpg, 4, Man in red jacket shielding face from the sun to read .
1014785440.jpg, 0, Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .
1014785440.jpg, 1, Two men 
1014785440.jpg, 2, Two men are out for a stroll with their two young children .
1014785440.jpg, 3, Men walking down a street with children .
1014785440.jpg, 4, Two men walking with children .
1015118661.jpg, 0, Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
1015118661.jpg, 1, A little boy is standing on the street while a man in overalls is working on a stone wall .
1015118661.jpg, 2, A young child is walking on a stone paved street with a metal pole and a man behind him .
1015118661.jpg, 3, A boy smiles in front of a stony wall in a city .
1015118661.jpg, 4, A young boy runs aross the street .
1015584366.jpg, 0, A mottled black and gray dog in a blue collar jumping over a fallen tree .
1015584366.jpg, 1, A gray dog is leaping over a fallen tree .
1015584366.jpg, 2, A large black dog leaps a fallen log .
1015584366.jpg, 3, The black dog jumped the tree stump .
1015584366.jpg, 4, A black dog leaps over a log .
101559400.jpg, 0, Men in the business suits are crossing the street 
101559400.jpg, 1, A man in a suit runs across an intersection while a large group of people assembles .
101559400.jpg, 2, A man in a suit is running past two other gentleman 
101559400.jpg, 3, A man in a suit is hurrying across the street .
101559400.jpg, 4, A man in a suit is running across the street .
1015712668.jpg, 0, A man in a red long-sleeved shirt bikes over a body of water on a bridge .
1015712668.jpg, 1, A man riding his bike across the bridge that is over the river .
1015712668.jpg, 2, A man in red on a bicycle rides past a glass structure .
1015712668.jpg, 3, Man in a red shirt riding his bicycle around water .
1015712668.jpg, 4, A man in a red shirt rides his bicycle .
10160966.jpg, 0, A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .
10160966.jpg, 1, A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it .
10160966.jpg, 2, A young man in sunglasses holds a blue cup next to a grill with sausages .
10160966.jpg, 3, A young man 
10160966.jpg, 4, A man is holding his cup while he grills hotdogs .
101654506.jpg, 0, The white and brown dog is running over the surface of the snow .
101654506.jpg, 1, a white and brown dog is running through a snow covered field .
101654506.jpg, 2, A brown and white dog is running through the snow .
101654506.jpg, 3, A dog running through snow .
101654506.jpg, 4, A dog is running in the snow
1016626169.jpg, 0, Man on scooter attracts attention from some of those in large crowd .
1016626169.jpg, 1, A crowd is standing and waiting for the green light .
1016626169.jpg, 2, People stop and look at an older woman outside .
1016626169.jpg, 3, A crowd of people waiting to cross a street .
1016626169.jpg, 4, A crowd of people waiting for the light .
101669240.jpg, 0, A person wearing skis looking at framed pictures set up in the snow .
101669240.jpg, 1, A man in a hat is displaying pictures next to a skier in a blue hat .
101669240.jpg, 2, A man skis past another man displaying paintings in the snow .
101669240.jpg, 3, A skier looks at framed pictures in the snow next to trees .
101669240.jpg, 4, Man on skis looking at artwork for sale in the snow
1016887272.jpg, 0, Several climbers in a row are climbing the rock while the man in red watches and holds the line .
1016887272.jpg, 1, Seven climbers are ascending a rock face whilst another man stands holding the rope .
1016887272.jpg, 2, A group of people are rock climbing on a rock climbing wall .
1016887272.jpg, 3, A group of people climbing a rock while one man belays
1016887272.jpg, 4, A collage of one person climbing a cliff .
1017675163.jpg, 0, A young gymnast 
1017675163.jpg, 1, A woman wearing an orange leotard doing gymnastics in front of an audience .
1017675163.jpg, 2, A gymnast performing on the balance beam in front of an audience .
1017675163.jpg, 3, The young gymnast 's supple body soars above the balance beam .
1017675163.jpg, 4, A gymnast is performing on the balance beam .
1018057225.jpg, 0, a boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool .
1018057225.jpg, 1, A young boy is pushing a toy ATV around a rubber pool
1018057225.jpg, 2, a boy pushing a red toy atv next to a pool
1018057225.jpg, 3, A boy pushing a miniature car on a lawn .
1018057225.jpg, 4, A young boy pushing his toy quad .
1018148011.jpg, 0, A group of people stand in the back of a truck filled with cotton .
1018148011.jpg, 1, Men are standing on and about a truck carrying a white substance .
1018148011.jpg, 2, A group of people are standing on a pile of wool in a truck .
1018148011.jpg, 3, A group of men are loading cotton onto a truck
1018148011.jpg, 4, Workers load sheared wool onto a truck .
101859883.jpg, 0, a woman with a red jacket and headscarf looks out over a scenic view of a bay through a set of pay binoculars on a viewing deck .
101859883.jpg, 1, A woman inside a building is wearing a headscarf and looking out of a window through a mounted telescope .
101859883.jpg, 2, Woman in red windbreaker looking though a rooftop binoculars at the city below .
101859883.jpg, 3, A woman in a headscarf uses a telescope to look out over the city and bay .
101859883.jpg, 4, A Woman is looking through a telescope while wearing a red coat .
10188041.jpg, 0, A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .
10188041.jpg, 1, A man is standing in front of a small red object that looks like a plane .
10188041.jpg, 2, A man wearing a black jacket is walking towards the street .
10188041.jpg, 3, A man in a black jacket is moving towards a street .
10188041.jpg, 4, Man in black coat examining airplane nose .
1019077836.jpg, 0, Large brown dog running away from the sprinkler in the grass .
1019077836.jpg, 1, A brown dog chases the water from a sprinkler on a lawn .
1019077836.jpg, 2, A brown dog running on a lawn near a garden hose
1019077836.jpg, 3, a brown dog plays with the hose .
1019077836.jpg, 4, A dog is playing with a hose .
101958970.jpg, 0, A man and a little girl happily posing in front of their cart in a supermarket .
101958970.jpg, 1, A man sitting with his daughter in his daughter 's pink car in a grocery store .
101958970.jpg, 2, A man is sitting on a pink cart with a little girl in the grocery store .
101958970.jpg, 3, A man with his daughter sitting on a stroller in a supermarket .
101958970.jpg, 4, The little girl and the man are smiling .
1019604187.jpg, 0, A dog prepares to catch a thrown object in a field with nearby cars .
1019604187.jpg, 1, A white dog is ready to catch a yellow ball flying through the air .
1019604187.jpg, 2, A white dog is about to catch a yellow ball in its mouth .
1019604187.jpg, 3, A white dog is about to catch a yellow dog toy .
1019604187.jpg, 4, A white dog running after a yellow ball
102030371.jpg, 0, A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .
102030371.jpg, 1, Guy in green shirt with hand covering part of his face in restaurant booth .
102030371.jpg, 2, Man sitting at a table at a restaurant with a glass of water .
102030371.jpg, 3, A man in a green sweater and black vest sitting in a booth .
102030371.jpg, 4, A boy in a green sweater is sitting at a table .
1020651753.jpg, 0, A white dog is trying to catch a ball in midair over a grassy field .
1020651753.jpg, 1, The white dog is playing in a green field with a yellow toy .
1020651753.jpg, 2, a black and white dog jumping in the air to get a toy .
1020651753.jpg, 3, A black and white dog jumps up towards a yellow toy .
1020651753.jpg, 4, A dog leaps to catch a ball in a field .
1021293940.jpg, 0, Two men are hiking in a forest where snow is partially covering the ground .
1021293940.jpg, 1, Two men hiking in the snowy wilderness .
1021293940.jpg, 2, Two hikers resting by a patch of snow .
1021293940.jpg, 3, Two men look up while hiking .
1021293940.jpg, 4, Two men hiking in the snow .
1021332107.jpg, 0, An elderly man with facial hair and glasses 
1021332107.jpg, 1, An older man in a gray shirt with a white long-sleeve shirt under it holding up a small wooden cabinet .
1021332107.jpg, 2, A middle-aged man with a white beard and glasses holds up a small 
1021332107.jpg, 3, A man showing off his new wooden creation .
1021332107.jpg, 4, A man with beard carrying a cabinet .
1021439420.jpg, 0, two guys sitting on the floor 
1021439420.jpg, 1, A elderly father and his grown son are preparing for a camping trip in the wild .
1021439420.jpg, 2, Two men sit on the floor with camping equipment .
1021439420.jpg, 3, Two men sitting on their living floor .
1021439420.jpg, 4, Two guys sorting through some items .
1021442086.jpg, 0, A bearded man wearing glasses 
1021442086.jpg, 1, A bearded traveler in a red shirt sitting in a car and reading a map .
1021442086.jpg, 2, A man wearing a baseball cap is sitting in a car looking at a map .
1021442086.jpg, 3, a man in a red t-shirt is sitting in a car looking at a map .
1021442086.jpg, 4, A man trying to decipher a map .
1022454332.jpg, 0, a large lake with a lone duck swimming in it with several people around the edge of it .
1022454332.jpg, 1, A young boy waves his hand at the duck in the water surrounded by a green park .
1022454332.jpg, 2, Two people are at the edge of a lake 
1022454332.jpg, 3, A child and a woman are at waters edge in a big city .
1022454332.jpg, 4, A little boy at a lake watching a duck .
1022454428.jpg, 0, A couple and an infant 
1022454428.jpg, 1, A man and woman care for an infant along the side of a body of water .
1022454428.jpg, 2, A couple with their newborn baby sitting under a tree facing a lake .
1022454428.jpg, 3, Couple with a baby sit outdoors next to their stroller .
1022454428.jpg, 4, A couple sit on the grass with a baby and stroller .
102268204.jpg, 0, Three men are standing at night near a black car near a shelter filled with bicycles .
102268204.jpg, 1, Some men standing in front of a building next to a parked car .
102268204.jpg, 2, There are a lot of bikes parked under the curved roof tonight .
102268204.jpg, 3, police questioning the driver of a black wagon at nighttime .
102268204.jpg, 4, Men under a dome beside a black station wagon .
1022975728.jpg, 0, A black lab with tags frolicks in the water .
1022975728.jpg, 1, This is a black dog splashing in the water .
1022975728.jpg, 2, The black dog runs through the water .
1022975728.jpg, 3, A black dog running in the surf .
1022975728.jpg, 4, A dog splashes in the water
102351840.jpg, 0, A man is drilling through the frozen ice of a pond .
102351840.jpg, 1, A person in the snow drilling a hole in the ice .
102351840.jpg, 2, A person standing on a frozen lake .
102351840.jpg, 3, A man drilling a hole in the ice .
102351840.jpg, 4, Two men are ice fishing .
1024138940.jpg, 0, Two different breeds of brown and white dogs play on the beach .
1024138940.jpg, 1, Two dogs are making a turn on a soft sand beach .
1024138940.jpg, 2, Two large tan dogs play along a sandy beach .
1024138940.jpg, 3, Two dogs playing in the sand at the beach .
1024138940.jpg, 4, Two dogs playing together on a beach .
102455176.jpg, 0, an ice climber in a blue jacket and black pants is scaling a frozen ice wall .
102455176.jpg, 1, A person in blue and red ice climbing with two picks .
102455176.jpg, 2, A man uses ice picks and crampons to scale ice .
102455176.jpg, 3, An ice climber scaling a frozen waterfall .
102455176.jpg, 4, Climber climbing an ice wall
1024613706.jpg, 0, Two young men and a young lady walk through a field near the water .
1024613706.jpg, 1, Three people walking through a beautiful meadow towards the ocean .
1024613706.jpg, 2, Two men and a woman are walking through a field .
1024613706.jpg, 3, Two males and one female walking on a path .
1024613706.jpg, 4, Three people walking on a path in a meadow .
102520526.jpg, 0, A man in black attire shovels snow into the street 
102520526.jpg, 1, Man in black jacket gray snow cap 
102520526.jpg, 2, A man shoveling snow off the roads and sidewalks in a city .
102520526.jpg, 3, A person is cleaning snow and ice off of a city sidewalk .
102520526.jpg, 4, A man shovels slush of the street .
102575576.jpg, 0, A couple in their wedding attire stand behind a table with a wedding cake and flowers .
